year,source,nmfs_original_species,location,score,rgn_id,stockid
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,1,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,2,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,3,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,4,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,5,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,6,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,7,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,8,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,9,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,10,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,11,REDGMGBSS
2005,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.925000011920929,12,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,1,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,2,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,3,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,4,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,5,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,6,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,7,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,8,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,9,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,10,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,11,REDGMGBSS
2006,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.881666665275892,12,REDGMGBSS
2007,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.786996022392478,1,REDGMGBSS
2007,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.786996022392478,2,REDGMGBSS
2007,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.786996022392478,3,REDGMGBSS
2007,NMFS,REDFISH / OCEAN PERCH,Gulf of Maine / Georges Bank,0.786996022392478,4,REDGMGBSS
